_id;name;wikiUrl;race;birth;gender;death;hair;height;realm;spouse
5cd99d4bde30eff6ebccfbbe;Adanel;http://lotr.wikia.com//wiki/Adanel;Human;;Female;;;;;Belemir
5cd99d4bde30eff6ebccfbbf;Adrahil I;http://lotr.wikia.com//wiki/Adrahil_I;Human;Before ,TA 1944;Male;Late ,Third Age;;;;
5cd99d4bde30eff6ebccfbc0;Adrahil II;http://lotr.wikia.com//wiki/Adrahil_II;Human;TA 2917;Male;TA 3010;;;;Unnamed wife
5cd99d4bde30eff6ebccfbc1;Aegnor;http://lotr.wikia.com//wiki/Aegnor;Elf;YT during the ,Noontide of Valinor;Male;FA 455;Golden;;;Loved ,Andreth but remained unmarried
5cd99d4bde30eff6ebccfbc2;Aerin;http://lotr.wikia.com//wiki/Aerin;Human;Mid ,First Age;Female;FA 495;;;;Brodda
5cd99d4bde30eff6ebccfbc3;Ailinel;http://lotr.wikia.com//wiki/Ailinel;Human;Between ,SA 700, and ,SA 750;Female;Early ,Second Age;;;;Orchaldor
5cd99d4bde30eff6ebccfbc4;Aglahad;http://lotr.wikia.com//wiki/Aglahad;Human;TA 2827;Male;TA 2932;;;;Unnamed wife
5cd99d4bde30eff6ebccfbc5;Algund;http://lotr.wikia.com//wiki/Algund;Human;Late ,First Age;Male;FA 489;;;;None known
5cd99d4bde30eff6ebccfbc6;Almiel;http://lotr.wikia.com//wiki/Almiel;Human;Between ,SA 700, and ,SA 750;Female;Early ,Second Age;;;;
5cd99d4bde30eff6ebccfbc7;Alphros;http://lotr.wikia.com//wiki/Alphros;Human;TA 3017;Male;FO 95;;;;
5cd99d4bde30eff6ebccfbc8;Almarian;http://lotr.wikia.com//wiki/Almarian;Human;;Female;;;;Númenor;Tar-Meneldur
5cd99d4bde30eff6ebccfbc9;Amandil;http://lotr.wikia.com//wiki/Amandil;Human;Late ,Second Age;Male;Sailed West either SA 3310 fate unknown;;;;Unnamed wife
5cd99d4bde30eff6ebccfbca;Amarië;http://lotr.wikia.com//wiki/Amari%C3%AB;Elf;YT;Female;Still alive;;;;Loved ,Finrod, but it is unknown whether they married
5cd99d4bde30eff6ebccfbcb;Aldor;http://lotr.wikia.com//wiki/Aldor;Human;TA 2544;Male;TA 2645;;;Rohan;Unnamed wife
5cd99d4bde30eff6ebccfbcc;Aldamir;http://lotr.wikia.com//wiki/Aldamir;Human;TA 1330;Male;TA 1540;;;Gondor;Unnamed wife
5cd99d4bde30eff6ebccfbcd;Amlaith;http://lotr.wikia.com//wiki/Amlaith;Human;TA 726;Male;TA 946;;;Arthedain;Unnamed wife
5cd99d4bde30eff6ebccfbce;Amroth;http://lotr.wikia.com//wiki/Amroth;Elf;;Male;TA 1981;Golden;;Lórien;Nimrodel
5cd99d4bde30eff6ebccfbcf;Amrothos;http://lotr.wikia.com//wiki/Amrothos;Human;TA 2994;Male;;;;;
5cd99d4bde30eff6ebccfbd0;Anairë;http://lotr.wikia.com//wiki/Anair%C3%AB;Elf;YT;Female;;;;;Fingolfin
5cd99d4bde30eff6ebccfbd1;Anardil;http://lotr.wikia.com//wiki/Anardil;Human;TA 136;Male;TA 411;;;Gondor;Unnamed wife
5cd99d4bde30eff6ebccfbd2;Anborn;http://lotr.wikia.com//wiki/Anborn;Human;Late ,Third Age;Male;;Dark;;;
5cd99d4bde30eff6ebccfbd3;Andreth;http://lotr.wikia.com//wiki/Andreth;Human;FA 361;Female;FA 455;Dark brown;;;Loved ,Aegnor, but they never married
5cd99d4bde30eff6ebccfbd4;Andróg;http://lotr.wikia.com//wiki/Andr%C3%B3g;Human;FA 440;Male;FA 489;;;;Unnamed wife
5cd99d4bde30eff6ebccfbd5;Amras;http://lotr.wikia.com//wiki/Amras;Elf;Years of the Trees;Male;FA 538;Dark red;;Estolad;
5cd99d4bde30eff6ebccfbd6;Angamaitë;http://lotr.wikia.com//wiki/Angamait%C3%AB;Human;Mid-,Third Age;Male;;;;;
5cd99d4bde30eff6ebccfbd7;Amdír;http://lotr.wikia.com//wiki/Amd%C3%ADr;Elf;Sometime during ,Years of the Trees, or the ,First Age;Male;SA 3434;;;Lórien;Unnamed wife
5cd99d4bde30eff6ebccfbd8;Amrod;http://lotr.wikia.com//wiki/Amrod;Elf;Years of the Trees;Male;YT 1497 ,Losgar;Dark red;;;
5cd99d4bde30eff6ebccfbd9;Annael;http://lotr.wikia.com//wiki/Annael;Elf;;Male;;;;;
5cd99d4bde30eff6ebccfbda;Angbor;http://lotr.wikia.com//wiki/Angbor;Human;Late ,Third Age;Male;;;;;
5cd99d4bde30eff6ebccfbdb;Angelimir;http://lotr.wikia.com//wiki/Angelimir;Human;TA 2866;Male;TA 2977;;;;Unnamed wife
5cd99d4bde30eff6ebccfbdc;Angrod;http://lotr.wikia.com//wiki/Angrod;Elf;YT;Male;FA 455;Golden;;;Eldalótë
5cd99d4bde30eff6ebccfbdd;Anárion;http://lotr.wikia.com//wiki/An%C3%A1rion;Human;SA 3219;Male;SA 3440;;;Gondor;Unnamed wife
5cd99d4bde30eff6ebccfbde;Ar-Adûnakhôr;http://lotr.wikia.com//wiki/Ar-Ad%C3%BBnakh%C3%B4r;Human;SA 2709;Male;SA 2962;;;Númenor;Unnamed wife
5cd99d4bde30eff6ebccfbdf;Ar-Gimilzôr;http://lotr.wikia.com//wiki/Ar-Gimilz%C3%B4r;Human;SA 2960;Male;SA 3177;;;Númenor;Inzilbêth
5cd99d4bde30eff6ebccfbe0;Ar-Zimrathôn;http://lotr.wikia.com//wiki/Ar-Zimrath%C3%B4n;Human;SA 2798;Male;SA 3033;;;Númenor;Unnamed wife
5cd99d4bde30eff6ebccfbe1;Ar-Pharazôn;http://lotr.wikia.com//wiki/Ar-Pharaz%C3%B4n;Human;SA 3118;Male;Still alive;;Tall;Númenor;Tar-Míriel
5cd99d4bde30eff6ebccfbe2;Ar-Sakalthôr;http://lotr.wikia.com//wiki/Ar-Sakalth%C3%B4r;Human;SA 2876;Male;SA 3102;;;Númenor;Unnamed wife
5cd99d4bde30eff6ebccfbe3;Arador;http://lotr.wikia.com//wiki/Arador;Human;TA 2820;Male;TA 2930;Dark, then grey (film);;;Unnamed wife
5cd99d4bde30eff6ebccfbe4;Araglas;http://lotr.wikia.com//wiki/Araglas;Human;TA 2296;Male;TA 2455;;;;Unnamed wife
5cd99d4bde30eff6ebccfbe5;Aragorn I;http://lotr.wikia.com//wiki/Aragorn_I;Human;TA 2227;Male;TA 2327;;;;Unnamed wife
5cd99d4bde30eff6ebccfbe6;Aragorn II Elessar;http://lotr.wikia.com//wiki/Aragorn_II_Elessar;Human;March 1 ,2931;Male;FO 120;Dark;"198cm (6'6"")";Reunited Kingdom,Arnor,Gondor;Arwen
5cd99d4bde30eff6ebccfbe7;Aragost;http://lotr.wikia.com//wiki/Aragost;Human;TA 2431;Male;TA 2588;;;;Unnamed wife
5cd99d4bde30eff6ebccfbe8;Arahad I;http://lotr.wikia.com//wiki/Arahad_I;Human;TA 2365;Male;TA 2523;;;;Unnamed wife
5cd99d4bde30eff6ebccfbe9;Arahad II;http://lotr.wikia.com//wiki/Arahad_II;Human;TA 2563;Male;TA 2719;;;;Unnamed wife
5cd99d4bde30eff6ebccfbea;Arahael;http://lotr.wikia.com//wiki/Arahael;Human;TA 2012;Male;TA 2177;;;;Unnamed wife
5cd99d4bde30eff6ebccfbeb;Aranarth;http://lotr.wikia.com//wiki/Aranarth;Human;TA 1938;Male;TA 2106;;;;Unnamed wife
5cd99d4bde30eff6ebccfbec;Arantar;http://lotr.wikia.com//wiki/Arantar;Human;TA 185;Male;TA 435;;;Arnor;Unnamed wife
5cd99d4bde30eff6ebccfbed;Aranuir;http://lotr.wikia.com//wiki/Aranuir;Human;TA 2084;Male;TA 2247;;;;Unnamed wife
5cd99d4bde30eff6ebccfbee;Aranwë;http://lotr.wikia.com//wiki/Aranw%C3%AB;Elf;;Male;;;;;Unnamed wife
5cd99d4bde30eff6ebccfbef;Araphant;http://lotr.wikia.com//wiki/Araphant;Human;TA 1789;Male;TA 1964;;;Arthedain;Unnamed wife
5cd99d4bde30eff6ebccfbf0;Arathorn I;http://lotr.wikia.com//wiki/Arathorn_I;Human;TA 2693;Male;TA 2848;;;;Unnamed wife
5cd99d4bde30eff6ebccfbf1;Arathorn II;http://lotr.wikia.com//wiki/Arathorn_II;Human;TA 2873;Male;TA 2933;Dark (film);;;Gilraen
5cd99d4bde30eff6ebccfbf2;Araval;http://lotr.wikia.com//wiki/Araval;Human;TA 1711;Male;TA 1891;;;Arthedain,Arnor;Unnamed wife
5cd99d4bde30eff6ebccfbf3;Aravir;http://lotr.wikia.com//wiki/Aravir;Human;TA 2156;Male;TA 2319;;;;Unnamed wife
5cd99d4bde30eff6ebccfbf4;Aravorn;http://lotr.wikia.com//wiki/Aravorn;Human;TA 2497;Male;TA 2654;;;;Unnamed wife
5cd99d4bde30eff6ebccfbf5;Arciryas;http://lotr.wikia.com//wiki/Arciryas;Human;After ,TA 1684;Male;;;;;Unnamed wife
5cd99d4bde30eff6ebccfbf6;Arassuil;http://lotr.wikia.com//wiki/Arassuil;Human;TA 2628;Male;TA 2784;;;;Unnamed wife
5cd99d4bde30eff6ebccfbf7;Araphor;http://lotr.wikia.com//wiki/Araphor;Human;TA 1391;Male;TA 1589;;;Arthedain;Unnamed wife
5cd99d4bde30eff6ebccfbf8;Aratan;http://lotr.wikia.com//wiki/Aratan;Human;SA 3339;Male;;;;TA 2;Unknown, possibly known
5cd99d4bde30eff6ebccfbf9;Ardamir (son of Axantur);http://lotr.wikia.com//wiki/Ardamir_(son_of_Axantur);Human;SA 562;Male;;;;;
5cd99d4bde30eff6ebccfbfa;Aredhel;http://lotr.wikia.com//wiki/Aredhel;Elf;YT 1362;Female;FA 400;Dark;Tall;;Eöl
5cd99d4bde30eff6ebccfbfb;Argeleb I;http://lotr.wikia.com//wiki/Argeleb_I;Human;TA 1226;Male;TA 1356;;;Arthedain,Arnor;Unnamed wife
5cd99d4bde30eff6ebccfbfc;Arminas;http://lotr.wikia.com//wiki/Arminas;Elf;;Male;;;;;
5cd99d4bde30eff6ebccfbfd;Arthad;http://lotr.wikia.com//wiki/Arthad;Human;Late ,First Age;Male;FA 460;;;;
5cd99d4bde30eff6ebccfbfe;Arvedui;http://lotr.wikia.com//wiki/Arvedui;Human;TA 1864;Male;TA 1975;;;Arthedain;Fíriel
5cd99d4bde30eff6ebccfbff;Arvegil;http://lotr.wikia.com//wiki/Arvegil;Human;TA 1553;Male;TA 1743;;;Arthedain,Arnor;Unnamed wife
